id,date,content,view_count,likes,retweets,replies,quoteCount,sentiment
1476687044592037891,2021-12-30 22:50:01+00:00,Readout: President Biden spoke today with President Vladimir Putin of Russia. President Biden urged Russia to de-escalate tensions with Ukraine. He made clear that the United States and its allies and partners will respond decisively if Russia further invades Ukraine.,15867,8352,1503,227,78,0
1476686783027023878,2021-12-30 22:48:59+00:00,Ushakov: Biden said to Putin that U.S is not going to deploy offensive weapons systems in Ukraine https://t.co/YetyvAOZad,149,44,21,3,5,0
1476686574628655104,2021-12-30 22:48:09+00:00,Biden and Putin speak amid Ukraine tensions https://t.co/EYoEpzlUv8,122,37,17,8,3,0
1476686164190969860,2021-12-30 22:46:31+00:00,"For those who haven’t realised it’s pretty unlikely Russia will ever give Crimea back to Ukraine, just like Israel is unlikely to ever give up control of the Golan Heights and hand them back to Syria (the difference being that Syria attacked the Galilee from the Golan first).",266,186,16,21,6,0
1476685935769272326,2021-12-30 22:45:37+00:00,"During the call with Putin, @POTUS ""made clear that the United States and its allies and partners will respond decisively if Russia further invades Ukraine,"" according to the @WhiteHouse. https://t.co/FpJjs2oyX3",461,131,66,9,10,0
1476685932875161605,2021-12-30 22:45:36+00:00,"WH press secretary says ""Biden urged Russia to de-escalate tensions with Ukraine. He made clear that the United States and its allies and partners will respond decisively if Russia further invades Ukraine""
""Substantive progress...can occur only in an environment of de-escalation"" https://t.co/iln3DD9Njf",190,75,23,0,0,0
1476685845390311426,2021-12-30 22:45:15+00:00,"JUST IN: Official White House statement on today's Biden-Putin call. @PressSec says @POTUS Biden ""urged Russia to de-escalate tensions with Ukraine. He made clear that the United States and its allies and partners will respond decisively if Russia further invades Ukraine."" https://t.co/zDL2Ygca6Z",112,37,15,7,1,0
1476685702821732358,2021-12-30 22:44:41+00:00,Biden and Putin hold 50-minute phone call amid rising Ukraine tensions https://t.co/BqEJ9sQjcp,105,40,13,14,4,0
1476684226493882370,2021-12-30 22:38:49+00:00,Kremlin aide says Biden said U.S. did not intend to deploy offensive weapons in Ukraine.,198,63,27,6,3,0
1476681836835315726,2021-12-30 22:29:19+00:00,"The scale &amp; duration of Russia’s military action would depend on how quickly Ukraine capitulated to Russia’s demands, security experts say 🤔
https://t.co/gD82XzIujr",129,34,19,9,2,0
1476679278620258309,2021-12-30 22:19:10+00:00,"Summary of Biden-Putin phone call:

Putin: ""Will you finally sign my security proposals now?""
Biden: ""No. I don't want and I can't, even if I wanted to.""
Putin: ""Maybe I will invade Ukraine next month.""
Biden: ""Maybe I will sanction you back to the stone age.""
Putin:🤬
Biden:😴",134,74,12,3,0,0
1476677841307713536,2021-12-30 22:13:27+00:00,This current crisis in Ukraine is entirely of Putin's making. But Biden (and even Trump and Obama) would have more room to maneuver if NATO had not talked up eventual UKR and Georgia NATO membership back in 2008. The Russians have been dining out on this ever since.,746,461,57,47,3,0
1476677430190522374,2021-12-30 22:11:49+00:00,"Biden’s in a jam. He’s locked into a crazy promise made in 2008 to offer Ukraine NATO membership he knows he can’t keep; and a potential Russian military move on Ukraine he can’t stop. Even if Putin doesn’t invade, Ukraine will remains a point of friction as it aligns w/west.",136,36,20,8,0,0
1476675402017947652,2021-12-30 22:03:45+00:00,✊👍🇺🇦 https://t.co/MC8mg3Yt7R,1086,496,118,4,0,0
1476674959615447046,2021-12-30 22:02:00+00:00,"30 Dec 1922: Soviet #Russia, #Belorussia, #Ukraine, and the Transcaucasian Federation, are renamed the Union of Soviet #Socialist Republics by Vladimir I. Lenin. #Communism #history #OTD #HistoryMatters #ad https://t.co/UWj4iNjJYI https://t.co/PRuD3Ihd39 https://t.co/MZQSM8OnUO",111,26,17,1,1,0
1476674710901514254,2021-12-30 22:01:01+00:00,"Pres. Biden speaks on the phone with Russian President Vladimir Putin, their second conversation this month amid heightened fears of a full-scale invasion of Ukraine. https://t.co/Dk6Lsgw5v2 https://t.co/Mor7BkI5m9",649,294,71,90,11,0
1476674383485841408,2021-12-30 21:59:42+00:00,"The Russians have moved an estimated 100,000 troops toward Ukraine. The White House indicated Biden would make clear to Putin a diplomatic path remains open, with talks between senior U.S. and Russian officials scheduled for next month in Geneva.",364,94,54,16,13,0
1476674333087084547,2021-12-30 21:59:30+00:00,"Presidents Joe Biden and Vladimir Putin spoke by phone about the Russian troop buildup near Ukraine. It was a new round of leader-to-leader talks that come as the Kremlin has stepped up its calls for security guarantees. 

https://t.co/nvRrqrQsFq",445,110,67,27,6,0
1476672250636083208,2021-12-30 21:51:14+00:00,"Your daily reminder that #RussiaInvadedUkraine , annexed #Crimea , still occupies part of Eastern #Ukraine and still wages war on 🇺🇦 
#RussiaIsATerroristState 
#CrimeaIsUkraine 🇺🇦 
#UkraineIsEurope 🇪🇺
#UkraineWillResist #УкраїнаЧинитимеОпір https://t.co/XxwqYgdK0k",128,43,17,5,0,0
1476671804857008132,2021-12-30 21:49:28+00:00,Новорічні свята з Рошен! https://t.co/Kgfu8U5Ql0,171,96,15,2,0,0
1476671664788279296,2021-12-30 21:48:54+00:00,"Meanwhile, Oleksiy Danilov, secretary of Ukraine's National Security and Defense Council, tells Ukrainians authorities see no evidence of an imminent Russian military attack. ""We've been living under threat since February 2014,"" he says. ""Relax, celebrate the New Year calmly.""",123,43,16,2,1,0
1476671553437843458,2021-12-30 21:48:28+00:00,Галичани 1920-х років на світлинах німецького колекціонера. https://t.co/q3G31FLbHJ,182,117,13,1,0,0
1476671401495085068,2021-12-30 21:47:52+00:00,Військовослужбовець австро-угорської армії підгодовує українську дівчинку під час Першої Світової Війни 1914-1918 рр. https://t.co/rHywwaynsK,145,85,12,2,0,0
1476671361250639873,2021-12-30 21:47:42+00:00,Video: Ukrainian forces attacked a separatists truck with ATGM. Two separatists killed and three wounded as result. #Ukraine #Donbas https://t.co/UDaBVYP0NJ,296,131,33,10,7,0
1476670990881275904,2021-12-30 21:46:14+00:00,"Дивишся Гаррі Поттера, а тут несподівано Медведчук)))

PS викапаний, як на мене! 
😂😂😂 https://t.co/iHadJZU0OY",694,394,60,5,1,0
1476670808168742930,2021-12-30 21:45:30+00:00,"Military exploration of Ukraine by NATO member states is an existential threat for Russia, writes Anatoly Antonov, Russia’s ambassador to the United States.
https://t.co/GT5QVmIUUu",111,26,17,7,3,0
1476670507466604561,2021-12-30 21:44:18+00:00,Je crois ça va un peu trop loin l'histoire de l'arnaque des étudiants en Ukraine...,123,68,11,4,2,0
1476670228977303556,2021-12-30 21:43:12+00:00,President Biden has finished speaking with his Russian counterpart Vladimir Putin about the crisis at the Ukraine border https://t.co/KBgAhC50uI,163,73,18,20,2,0
1476670180549877763,2021-12-30 21:43:00+00:00,Закарбуємо ці слова в пам'яті! Україна понад усе! https://t.co/ReGKD1ugig,1016,476,108,3,1,0
1476669778060271616,2021-12-30 21:41:24+00:00,"Я знаю, куди ховається наше дитинство, коли ми дорослішаємо.
Воно втікає по чарівним стежкам в казки, які давним-давно нам читали батьки, і дивиться на нас звідти, посміхаючись, коли знову відкриваємо книгу з чарівними історіями, щоб прочитати їх нашим дітям. https://t.co/CK6NSQbwKx",129,79,10,2,0,0
1476669490385633284,2021-12-30 21:40:16+00:00,👇👏 https://t.co/GOLfd7zraB,729,339,78,1,1,0
1476669249817128967,2021-12-30 21:39:19+00:00,"Yes, Biden and Putin have had yet another round of talks on Ukraine this month.
And tbh - neither the White House nor the Kremlin has issued any statements. All done in silence behind closed doors. Without Ukraine's presence.
I find this a bit disturbing, ladies and gentlemen. https://t.co/AzlBaE8dsh",187,92,19,14,5,0
1476668665214996485,2021-12-30 21:36:59+00:00,Україна обов'язково буде в ЕС і НАТО! https://t.co/AcRXgiWrW1,2468,1043,285,12,4,0
1476668442816258059,2021-12-30 21:36:06+00:00,"Joe Biden has shown nothing but weakness &amp; appeasement to brutal dictators like Putin &amp; Xi. When he speaks with Putin today, @POTUS needs to finally find his backbone, put American interests first &amp; stand up for our allies, like Lithuania &amp; Ukraine. The world is watching. https://t.co/BYhATkLcjY",303,118,37,150,12,0
1476667852996296725,2021-12-30 21:33:45+00:00,"Anatoly Antonov, Russia's ambassador to the U.S. laid out Moscow's grievances in @ForeignPolicy, today:

'We have come to the point when we have no room to retreat. Military exploration of Ukraine by NATO member states is an existential threat for Russia.""
https://t.co/vCnHkdrhqc",222,57,33,34,23,0
1476667210517073925,2021-12-30 21:31:12+00:00,"🇺🇦Ukraine's National Security and Defense Council secretary Oleskiy Danilov stays overwhelmingly optimistic: we're not facing an inevitable threat of a full-scale invasion. 
🇷🇺Russia is simply not capable of achieving that, he says.",187,87,20,8,2,0
1476667069575872516,2021-12-30 21:30:39+00:00,"A reminder of the huge threat of another Russian invasion of Ukraine, possibly in late January or February

Russia planning massive military offensive against Ukraine involving 175,000 troops, U.S. intelligence warns https://t.co/JLPqGadnsp",115,30,17,11,4,0
1476666313426849800,2021-12-30 21:27:38+00:00,Have told Biden Ukraine could de-escalate by not threatening to defend itself.,815,420,79,7,2,0
1476666146870939648,2021-12-30 21:26:59+00:00,"Construction activities of the first MILGEM-corvette of the Ukrainian Navy. ⚓️🇺🇦

Turkey will deliver the 1st corvette to Ukraine in 2022.",184,94,18,0,0,0
1476665489715773447,2021-12-30 21:24:22+00:00,"Estonia has announced that it is planning to provide significant numbers of artillery and missile systems to Ukraine free of cost. 

The weapon systems - 122 mm howitzers and Javelin missiles - are primarily aimed at anti-tank defense.

🇪🇪🇺🇦 https://t.co/PIEXImwHqc",949,474,95,19,6,0
1476664871051747330,2021-12-30 21:21:55+00:00,"Putin tells Biden his troops are not in Ukraine and also there is no such thing as ""Ukraine"".",445,215,46,17,6,0
1476664378833440777,2021-12-30 21:19:57+00:00,"People like to talk about how Putin is a strategic genius, but over the past decade or so he's turned Ukraine - a country with an ambivalent to positive relationship with Russia into an avowed enemy for a generation, and gained absolutely nothing in return.",190,125,13,15,0,0
1476664141029023751,2021-12-30 21:19:00+00:00,"U.S. Presidents Joe Biden and Russian President Vladimir Putin spoke Thursday, according to the White House. The call, requested by Putin, was the second this month amid rising tensions over Russian troop buildup on its border with Ukraine.

#CGTNAmerica https://t.co/Tyolsbrng5",107,27,16,3,0,0
1476662744300589058,2021-12-30 21:13:27+00:00,On phone to Biden. Have told him Ukraine should move its border away from my army.,3667,2077,318,14,16,0
1476662720678219781,2021-12-30 21:13:22+00:00,"Biden and Putin began their call at 3:35pm EST, per White House. The call — second between the leaders in 3 weeks, and at Russia’s request — comes as Putin continues to mass 100,000+ troops around Ukraine’s border and Western Intel agencies warn of a high risk of a new attack.",466,131,67,12,3,0
1476662262979043331,2021-12-30 21:11:33+00:00,"Його нагородили за допомогу Міноборони РФ.
https://t.co/VV6OfLjx75",123,18,21,1,0,0
1476661717644066818,2021-12-30 21:09:23+00:00,New photo of @katyperry for Spotify playlist “New Music Friday Ukraine”. https://t.co/F1wvzQy4En,1222,757,93,11,16,0
1476661540485050371,2021-12-30 21:08:40+00:00,Update: U.S.-Ukraine…,107,57,10,4,0,0
1476661027681062912,2021-12-30 21:06:38+00:00,"Spotify Playlist - New Music Friday Ukraine🇺🇦:

#1. @katyperry,@alesso —  ""When I'm Gone"" (NEW)

- Katy is on the cover.
https://t.co/d78YSNNvWK",294,174,24,5,0,0
1476659860024410114,2021-12-30 21:02:00+00:00,"Democracy is powerful and must be protected. Whether that means advancing voting rights legislation at home or making sure foreign friends like Ukraine can defend themselves against Russian aggression, I will always support the principles of democracy.",338,143,39,16,2,0
1476659517509320709,2021-12-30 21:00:38+00:00,"Biden, Putin begin second call this month as Ukraine tensions simmer https://t.co/5n7RG2bxgg https://t.co/c6aQzx2kn1",329,94,47,22,10,0
1476658274443448331,2021-12-30 20:55:42+00:00,Staying by the fire in accordance with public health advice. Gripping &amp; haunting read by ⁦@anneapplebaum⁩ on Holodomor a crime against humanity in Ukraine. Ultimately Stalin failed. We must not let the horror fade from our memory as history offers hope as well as tragedy🇺🇦 https://t.co/sRXedjqje2,639,264,75,17,4,0
1476656799596138500,2021-12-30 20:49:50+00:00,#Turkey started the building of the first Ada-class corvette for #Ukraine https://t.co/66m0DB2xvC,245,105,28,3,4,0
1476655549307625476,2021-12-30 20:44:52+00:00,"Ukraine isn't a threat to Russian national security, of course. A thriving, democratic Ukraine is a threat to Putin's dictatorship model and thus to his personal power. That's why sabotages it and why it must be defended.",3432,1427,401,38,11,0
1476655462762233863,2021-12-30 20:44:31+00:00,"A lot of people who somehow think that schoolteachers voting for Labour in 2019 should be held responsible for the 1932-33 famine in Ukraine seem curiously unable to recognise a catastrophic famine happening right now as a direct, intended consequence of Western policy.",463,223,48,2,0,0
1476652086146306049,2021-12-30 20:31:06+00:00,"So when we try to assess Moscow's cost-benefit analysis of using force against Ukraine we need to not just assess the costs of an escalation for Russia, but also their perceived costs of *not* ""solving"" this issue now, which they likely think is greater.
https://t.co/PIwBU4706U",354,219,27,4,2,0
1476649838292967424,2021-12-30 20:22:10+00:00,"The US Air Force flew another spy plane over eastern Ukraine on Thursday morning to gather intel about the Russian military situation on the ground, per source. It was the second time this week that the US carried out such a mission &amp; came just hours before Biden's call w/Putin.",3859,1534,465,59,27,0
1476649566174908418,2021-12-30 20:21:06+00:00,"The spring buildup failed to achieves Russia's aims at deterring these steps, and the HMS Defender incident, Ukrainian TB2 strike in the Donbas (the footage was released publicly), and NATO bomber flights over Ukraine/Black Sea, etc. are public embarrassments for Moscow. 10/",280,170,22,2,0,0
1476648974073405440,2021-12-30 20:18:44+00:00,@vfroloff How can a Ukraine without nukes be a threat to Russia's national security? A rather absurd proposition.,138,93,9,13,2,0
1476648930167435265,2021-12-30 20:18:34+00:00,"Those who say Ukraine has 'zero chance' of joining @NATO are buoying Putin's plans for a wider war.

Firm political will can still deter him.

#ArmUkraine  
#SanctionRussia
#UkraineinNATO
#CollectiveDefence",117,62,11,1,0,0
1476648788265635840,2021-12-30 20:18:00+00:00,"President Joe Biden and Russian President Vladimir Putin are set to speak for the second time this month on Thursday, with rising tensions over Ukraine topping the agenda.

 https://t.co/deOMaiEmAi",114,59,11,25,2,0
1476648034243076099,2021-12-30 20:15:00+00:00,"Ukraine has zero chance of joining NATO. The US has zero intention of deploying missiles in Ukraine. NATO has been super-cautious about arming Ukraine. The entire current crisis has been invented by Vladimir Putin as part of his 8-year war against Ukraine

https://t.co/hwvQ8Oufps",176,71,21,7,0,0
1476647583560966151,2021-12-30 20:13:13+00:00,"I don’t support Russia’s potential invasion of Ukraine… However, I am tired of endless wars.

The last thing the United States needs is to go to war with another superpower when we have an incompetent Commander in Chief.",147,57,18,9,1,0
1476646856436461568,2021-12-30 20:10:20+00:00,"Finland, Sweden, Ukraine and Georgia should be given MAPS in a single step",344,154,38,7,2,0
1476645002830876672,2021-12-30 20:02:58+00:00,It’s almost like Putin is trying to stop himself from blowing up Ukraine. I mean how many times is he going to warn us? And then begging Biden to talk to him today? Wtf is that weasel bastard up to? #Putin,315,180,27,41,3,0
1476644865781887004,2021-12-30 20:02:25+00:00,"Once again, the overlapping focus is SE Ukraine.

As always, excellent work, Amy!",143,68,15,1,0,0
1476642007426777092,2021-12-30 19:51:03+00:00,Russia has broader security concerns with NATO and is using this as an opportunity to try to solve some of those with the threat of force against Ukraine. But the events in Ukraine are the more pressing concern for Moscow (and NATO membership isn't the proximate cause). 5/,259,164,19,5,1,0
1476640095755190282,2021-12-30 19:43:28+00:00,"A Russian military operation would be much more costly if Ukraine has cruise and ballistic missiles that could target important Russian bases and cities, and future Russian coercion efforts would be weaker if Ukraine had those kind of capabilities. 3/",411,226,37,15,11,0
1476639413664985098,2021-12-30 19:40:45+00:00,"Ukraine is a national security threat that pins down much of the Russian Ground Forces needed to defend the Donbas. Either Russia will try to force changes to Ukraine's constitution/political orientation or force NATO to stop strengthening its military to ""solve"" that threat. 2/",397,232,33,13,6,0
1476639117471629317,2021-12-30 19:39:34+00:00,"A better explanation is that Russia realizes that Ukraine will be a long-term hostile neighbor, is determined to retake the Donbas, is arming itself for that purpose, and it is better to act now before Kyiv has greater conventional deterrence (can target Russian cities/bases)",2314,964,270,36,82,0
